,text,sentiment,negative_reason,clean,twitter_handles,hashtags_all
1080,bWAGOP GOP cathymcmorris So nice to know the GOP got my info and decided to text wme without my consent Im,1,,bWAGOP GOP cathymcmorris So nice GOP info decided text wme consent Im,@WAGOP @GOP @cathymcmorris,#GOP
1081,bRT QueueTheNews MAGA KAG QTN_Train 203nFollow,1,,bRT QueueTheNews MAGA KAG QTN_Train 203nFollow,@QueueTheNews,#MAGA #KAG #QTN_Train
1082,bAdamhill1212 Seventh_Wonder This is so sad  heartbreaking I hope that people are voting like their life,0,covid19,bAdamhill1212 Seventh_Wonder This sad heartbreaking I hope people voting life,@Adamhill1212 @Seventh_Wonder,
1083,bRT Rob_Rogers Are there really any undecided voters left out there What more do you need to think about,0,others,bRT Rob_Rogers Are undecided voters left What,@Rob_Rogers,
1084,bDonaldJTrumpJr How dare you say that Covid deaths are insignificant as another 1000 Americans died today You,0,others,bDonaldJTrumpJr How dare Covid deaths insignificant 1000 Americans died today You,@DonaldJTrumpJr,
1085,bewarren Yes Trump literally killed each and every one of those 225000 with his own hands And youre Native American LiarLiar,0,covid19,bewarren Yes Trump literally killed 225000 hands And Native American LiarLiar,@ewarren,#Trump #LiarLiar
1086,bRT claireofRA Always remember polls do not decide elections VOTERS  Go vote Early in person if you  drop off your,0,covid19,bRT claireofRA Always remember polls decide elections VOTERS Go vote Early person drop,@claireofRA,
1087,bRT mspetter AFTvotes  Our AFTunion officers are everywhere getting the word out that we GOTV and support BidenHarris,1,,bRT mspetter AFTvotes Our AFTunion officers word GOTV support BidenHarris,@mspetter @AFTunion,#AFTvotes #GOTV #BidenHarris
1088,KAG MAGA,1,,KAG MAGA,,#KAG #MAGA
1089,bHas he ever thought in his tiny TINY little brain that   WAS HIM Worst President in,0,crime,bHas thought tiny TINY brain WAS HIM Worst President,,
1090,bpennyparker0523 sorry to hear of this Penny and your message is both sobering  very important at this,0,corruption,bpennyparker0523 hear Penny message sobering,@pennyparker0523,
1091,bRT LouDobbs Future at Stake robertjeffress encourages all Americans to get out to vote  he says not voting is a sin,0,discrimination,bRT LouDobbs Future Stake robertjeffress encourages Americans vote voting sin,@LouDobbs @robertjeffress,
1092,bMAGA Trump2020 JoeBiden your weapons of hell shall not prevail TheResistance USA,0,covid19,bMAGA Trump2020 JoeBiden weapons hell prevail TheResistance USA,@JoeBiden,#MAGA #Trump2020 #TheResistance #USA
1093,bNCRegister JoeBiden wrote Thursday that his faith drilled into me a core truth that every person on,1,,bNCRegister JoeBiden wrote Thursday faith drilled core truth person,@NCRegister,#JoeBiden
1094,bApologize for your father not your beliefs Apologize for caging families at the border Shame on you you,0,covid19,bApologize father beliefs Apologize caging families border Shame,,
1095,bRT DiamondandSilk LIVE President realDonaldTrump holds a MAGA Rally in Green Bay WI via RSBNetwork,1,,bRT DiamondandSilk LIVE President realDonaldTrump holds MAGA Rally Green Bay WI RSBNetwork,@DiamondandSilk @realDonaldTrump @RSBNetwork,#MAGA
1096,brealDonaldTrump Softly realDonaldTrump will be just a one term impeached abomination in our history books that,1,,brealDonaldTrump Softly realDonaldTrump will term impeached abomination history books,@realDonaldTrump @realDonaldTrump,
1097,bRT elerianm Down day for stocks resulting in worse week since March and second straight monthly losses for several indicesnReflects,0,covid19,bRT elerianm Down day stocks worse week March second straight monthly losses indicesnReflects,@elerianm,#stocks
1098,bPlain and simple DonaldJTrumpJr  DUMB BidenHarrisLandslide2020 TrumpIsCompromised COVIDIOTS,0,others,bPlain simple DonaldJTrumpJr DUMB BidenHarrisLandslide2020 TrumpIsCompromised COVIDIOTS,@DonaldJTrumpJr,#BidenHarrisLandslide2020 #TrumpIsCompromised #COVIDIOTS
1099,bIve done my civic duty Im claiming it BidenHarris2020,1,,bIve civic duty Im claiming BidenHarris2020,,#BidenHarris2020
1100,bLets do our statements together buy change up a few words  sad days for Canada ParrySound  BobbyOrr fans,0,covid19,bLets statements buy change sad days Canada ParrySound BobbyOrr fans,,#ParrySound #BobbyOrr
1101,bRT TheRealBaneGirl mercedesschlapp JoeBiden I find the constant lying at Trumps four year long campaign rally AKA fake presidency,0,others,bRT TheRealBaneGirl mercedesschlapp JoeBiden I find constant lying Trumps year long campaign rally AKA fake presidency,@TheRealBaneGirl @mercedesschlapp @JoeBiden,
1102,Really realDonaldTrump accusing Doctors and by extension all healthcare on the front lines,0,corruption,Really realDonaldTrump accusing Doctors extension healthcare front lines,@realDonaldTrump,#Doctors
1103,bOf all the terrible things the man occupying the Oval Office has said about COVID this is the worst doctors get,0,discrimination,bOf terrible things man occupying Oval Office COVID worst doctors,,
1104,bValerieJarrett JoeBiden HillaryClinton  all  send trump packing more like seeking,1,,bValerieJarrett JoeBiden HillaryClinton send trump packing seeking,@ValerieJarrett @JoeBiden @HillaryClinton,
1105,bAnd we all know not worried about MAGA riots there be any but from the radical farleft,0,others,bAnd worried MAGA riots radical farleft,,#MAGA
1106,bAn operational tsunami preparing for a winter surge of Covid19,1,,bAn operational tsunami preparing winter surge Covid19,,#tsunami #Covid
1107,bHappyHalloween Dont forget to VoteHimOut VoteBlue,0,discrimination,bHappyHalloween Dont forget VoteHimOut VoteBlue,,#HappyHalloween #VoteHimOut #VoteBlue
1108,bRT JacquesInTheSky Was able to go vote in and out no line Truly blessed because I know that the case for everyone But you,1,,bRT JacquesInTheSky Was vote Truly blessed I case But,@JacquesInTheSky,
1109,brealDonaldTrump The only fear that will win the election is the fear of four more years of you and your criminal,0,crime,brealDonaldTrump The fear will win election fear years criminal,@realDonaldTrump,
1110,bRT MarkSimoneNY Who could think Joe speeches are helping him An angry old man yelling in a parking lot to honking horns He,0,covid19,bRT MarkSimoneNY Who Joe speeches helping An angry man yelling parking lot honking horns He,@MarkSimoneNY,
1111,bLook at all the empty flight boards A total of 6 with flights listed nnDetroit Metro Airport is like a ghost,0,discrimination,bLook empty flight boards A total 6 flights listed nnDetroit Metro Airport ghost,,
1112,bPerfect place for  DUMPSTER BidenHarris2020,0,discrimination,bPerfect place DUMPSTER BidenHarris2020,,#BidenHarris2020
1113,bHe has NO leadership qualities People are still DYING votehimout cardib trump VoteHimOut vote,1,,bHe NO leadership qualities People DYING votehimout cardib trump VoteHimOut vote,,#votehimout #cardib #trump #VoteHimOut #vote
1114,bModDarvasBox No way he could handle an interview with Leslie Stahl MAGA,1,,bModDarvasBox No handle interview Leslie Stahl MAGA,@ModDarvasBox,#MAGA
1115,bTook this photo right after I voted for JoeBiden and KamalaHarris tonight been feeling so anxious about,0,others,bTook photo I voted JoeBiden KamalaHarris tonight feeling anxious,@JoeBiden @KamalaHarris,
1116,bSpeakerPelosi What virus The ChinaVirus AccountabilityOfMedia COVID is all over politics Red states want,1,,bSpeakerPelosi What virus The ChinaVirus AccountabilityOfMedia COVID politics Red states,@SpeakerPelosi,#ChinaVirus #AccountabilityOfMedia #COVID
1117,bUSSenate Ethnic Compositionnn92 Whiten3 Blackn3 Hispanicn2 AsianAmericannnElection2020,1,,bUSSenate Ethnic Compositionnn92 Whiten3 Blackn3 Hispanicn2 AsianAmericannnElection2020,,#USSenate #Election2020
1118,bAfter Biden wins every young white man will finally know that they too can make it in America Inspiring BidenHarris2020,1,,bAfter Biden wins young white man will finally America Inspiring BidenHarris2020,,#BidenHarris2020
1119,bBrettFavre Donald Trump Really Do you know how many people he has hurt with his policies inaction racism,0,covid19,bBrettFavre Donald Trump Really Do people hurt policies inaction racism,@BrettFavre,
1120,bBarbraStreisand Its just awful and the media call it playing to his base his base is massive and that,0,others,bBarbraStreisand Its awful media call playing base base massive,@BarbraStreisand,
1121,b5 Days Until   JustHeadlines AlexRWagner Comedy News VOTE,1,,b5 Days Until JustHeadlines AlexRWagner Comedy News VOTE,,#JustHeadlines #AlexRWagner #Comedy #News #VOTE
1122,bRT SlimSugar ARE YOU ALL GETTING IT YETnnWakeUpnnWE ARE ALL BEING LIED TOnTHEY ARE LAUGHING AT USnAT HOW EASY WE ARE TO CONTROLnnLET,1,,bRT SlimSugar ARE YOU ALL GETTING IT YETnnWakeUpnnWE ARE ALL BEING LIED TOnTHEY ARE LAUGHING AT USnAT HOW EASY WE ARE TO CONTROLnnLET,@SlimSugar,#WakeUp
1123,bThis happened twice while we voted in Clark County NV Love cheering for new voters VOTE VoteEarly,1,,bThis happened voted Clark County NV Love cheering voters VOTE VoteEarly,,#VOTE #VoteEarly
1124,bKaplanidou Best part thousands of republican voters going BidenHarris2020 here in Florida sick of all Trump lies,0,discrimination,bKaplanidou Best thousands republican voters going BidenHarris2020 Florida sick Trump lies,@Kaplanidou,#BidenHarris2020
1125,bRT Scothika marklevinshow WE ARE THE MOVEMENT MAGA2020LandslideVictory MAGA Trump2020 VoteRed RedWave,1,,bRT Scothika marklevinshow WE ARE THE MOVEMENT MAGA2020LandslideVictory MAGA Trump2020 VoteRed RedWave,@Scothika @marklevinshow,#MAGA2020LandslideVictory #MAGA #Trump2020 #VoteRed #RedWave
1126,bRT maebirdwing Fuck this pig BidenHarris2020,0,covid19,bRT maebirdwing Fuck pig BidenHarris2020,@maebirdwing,#BidenHarris2020
1127,bRT EvanABryan OregonGovBrown ORDeptEd So while the state sees its highest number of COVID cases today you want to send Oregons,1,,bRT EvanABryan OregonGovBrown ORDeptEd So state sees highest number COVID cases today send Oregons,@EvanABryan @OregonGovBrown @ORDeptEd,#COVID
1128,bRT The_NewArab Syrian Americans have been affected by Trumps discriminatory policies and his Muslim ban but many of them fear,0,covid19,bRT The_NewArab Syrian Americans Trumps discriminatory policies Muslim ban fear,@The_NewArab,#Americans #Trump #Muslim
1129,bRT AlexBerenson So Covid myocarditis in young adults panic turned out to be as serious and real an issue as Covid,0,discrimination,bRT AlexBerenson So Covid myocarditis young adults panic turned serious real issue Covid,@AlexBerenson,#Covid
1130,brealDonaldTrump Republican,1,,brealDonaldTrump Republican,@realDonaldTrump,#Republican
1131,bRT EpochTimes News clear plan would be a risk to our economic and national say the,1,,bRT EpochTimes News clear plan risk economic national,@EpochTimes,
1132,bMyVotingStory My Mother died shortly after trump came into office We furiously texted each other on Election,0,covid19,bMyVotingStory My Mother died shortly trump office We furiously texted Election,,#MyVotingStory
1133,bTeamTrump realDonaldTrump I hope realDonaldTrump will win Trump DonaldTrump,1,,bTeamTrump realDonaldTrump I hope realDonaldTrump will win Trump DonaldTrump,@TeamTrump @realDonaldTrump @realDonaldTrump,#Trump #DonaldTrump
1134,bRT murray_nyc We need a change We need a new president for the United States We need someone who is there for everyone nnJoeBiden,1,,bRT murray_nyc We change We president United States We nnJoeBiden,@murray_nyc,#JoeBiden
1135,bBuckyIsotope Dont make fun of JackDorseynnThis is the new disguise hes using to avoid the inevitable death,0,corruption,bBuckyIsotope Dont fun JackDorseynnThis disguise avoid inevitable death,@BuckyIsotope,#JackDorsey
1136,bYep Thats real And winter is coming COVID19 coronavirus,1,,bYep Thats real And winter coming COVID19 coronavirus,,#COVID19 #coronavirus
1137,bRT T4Aphenux Episode ASS THERAPY breathingice cold water bathing COVID Fitness ChronicPain,0,covid19,bRT T4Aphenux Episode ASS THERAPY breathingice cold water bathing COVID Fitness ChronicPain,@T4Aphenux,#COVID #Fitness #ChronicPain
1138,bRT beachydreamer BulldogBen au_girl babslilbit BadAzU BalueCat barali4793 BeautyBind BeaverLaFever beccas1434 beckyadenton,1,,bRT beachydreamer BulldogBen au_girl babslilbit BadAzU BalueCat barali4793 BeautyBind BeaverLaFever beccas1434 beckyadenton,@beachydreamer @BulldogBen @au_girl @babslilbit @BadAzU @BalueCat @barali4793 @BeautyBind @BeaverLaFever @beccas1434 @beckyadenton,
1139,bYou have done everything you could think of to suppress our votes The postal System is damaged you had over 50,0,others,bYou suppress votes The postal System damaged 50,,
1140,bReady to talk election2020 in classnnElection angst might be about conflict or fear of it Our Diversity,0,covid19,bReady talk election2020 classnnElection angst conflict fear Our Diversity,,#election2020
1141,bA JoeBiden Victory in Election2020 could push ScottMorrisonMP  the world on ClimateChange  International,1,,bA JoeBiden Victory Election2020 push ScottMorrisonMP ClimateChange International,@ScottMorrisonMP,#JoeBiden #Election2020 #ClimateChange
1142,bRT Travelaviator Wedding in FortLauderdale pre Covid Entertainment included Caricature drawings of guests by,1,,bRT Travelaviator Wedding FortLauderdale pre Covid Entertainment included Caricature drawings guests,@Travelaviator,#Wedding #FortLauderdale #Covid #Caricature
1143,bFLOTUS FtBraggNC POTUS realDonaldTrump GTFO of Home  TrumpCrimeFamily parasites,1,,bFLOTUS FtBraggNC POTUS realDonaldTrump GTFO Home TrumpCrimeFamily parasites,@FLOTUS @FtBraggNC @POTUS @realDonaldTrump,#TrumpCrimeFamily
1144,bWhy does Biden never take those dark aviator glasses off he hiding Makes him look like a liar oh wait Biden is a liar,0,others,bWhy Biden dark aviator glasses hiding Makes liar wait Biden liar,,#Biden
1145,bRT TWERadio Musician and pastor CBillingsley joins WarrenColeSmith on Listening InnnThey talk about the spiritual lessons he learned,1,,bRT TWERadio Musician pastor CBillingsley joins WarrenColeSmith Listening InnnThey talk spiritual lessons learned,@TWERadio @CBillingsley @WarrenColeSmith,
1146,bstephaniepenn WHAS11 nnKentucky schools to receive over 2 million face masksnpaid for by YOU the taxpayers,1,,bstephaniepenn WHAS11 nnKentucky schools receive 2 face masksnpaid YOU taxpayers,@stephaniepenn @WHAS11 @taxpayers,
1147,bTrump is such a sleazy cheater His followers much better VoteHimOut VoteBlueToSaveAmerica2020,1,,bTrump sleazy cheater His followers better VoteHimOut VoteBlueToSaveAmerica2020,,#Trump #VoteHimOut #VoteBlueToSaveAmerica2020
1148,bFeeling at peace finding comfort with all of you FBR BlueWave BidenHarris2020,1,,bFeeling peace finding comfort FBR BlueWave BidenHarris2020,,#FBR #BlueWave #BidenHarris2020
1149,bI am corona ncovid19 covid19 coronavirusn,1,,bI corona ncovid19 covid19 coronavirusn,,#covid19 #covid #coronavirus
1150,bKCBoyd3 This is the obscene worldview that AmyConeyBarrett stands for nnTHIS,0,corruption,bKCBoyd3 This obscene worldview AmyConeyBarrett stands nnTHIS,@KCBoyd3,#AmyConeyBarrett
1151,bRT YupYupMan95 In my area an attentionstarved Trump supporter is carrying an AR15  in the waving a Trump flag on a corner of a,1,,bRT YupYupMan95 In area attentionstarved Trump supporter carrying AR15 waving Trump flag corner,@YupYupMan95,#Trump
1152,bIt took Hitler 12 years to change Germany  4 years of Trump can we afford 4 morennWe,1,,bIt Hitler 12 years change Germany 4 years Trump afford 4 morennWe,,
1153,bI was lost looking for a translation or a correct spelling of deeply poetic,0,crime,bI lost translation correct spelling deeply poetic,,
1154,bThis poll is fake let them fool you We will win so be discouraged and still vote False to,0,covid19,bThis poll fake fool We will win discouraged vote False,,
1155,bCan you believe this shit theyre mocking us nPredictiveProgramming Covid,0,discrimination,bCan shit mocking nPredictiveProgramming Covid,,#PredictiveProgramming #Covid
1156,bRT Cleavon_MD LilTunechi realDonaldTrump POTUS at 33n Keith Taylor who worked at a Waffle House in Alabama died from COVID,0,covid19,bRT Cleavon_MD LilTunechi realDonaldTrump POTUS 33n Keith Taylor worked Waffle House Alabama died COVID,@Cleavon_MD @LilTunechi @realDonaldTrump @POTUS,#Alabama #COVID
1157,bRT Msdesignerlady How cool is this America Detroits StevieWonder will be performing at this  a blind man he can still see,0,crime,bRT Msdesignerlady How cool America Detroits StevieWonder will performing blind man,@Msdesignerlady,#StevieWonder
1158,bmkraju Fvkc greedy corrupt soulless GrimReaper MoscowMitch,0,crime,bmkraju Fvkc greedy corrupt soulless GrimReaper MoscowMitch,@mkraju,#GrimReaper #MoscowMitch
1159,bRT jonarends given to candidates in the past but never to this extent I feel like I do enough in 2016 Terrified 2020,0,corruption,bRT jonarends candidates extent I feel I 2016 Terrified 2020,@jonarends,
1160,bRT Frank_Oppong alarmed as Trump faces a on the TV airwavesnTrump outspent,0,discrimination,bRT Frank_Oppong alarmed Trump faces TV airwavesnTrump outspent,@Frank_Oppong,
1161,bmadrid_mike ProjectLincoln Loyalty should be to Country and constituents That is no longer the case It has,1,,bmadrid_mike ProjectLincoln Loyalty Country constituents That longer case It,@madrid_mike @ProjectLincoln,
1162,bThe doctors get more money when someone dies from   Donald Trump 103020nnThats such a sad ignorant,0,covid19,bThe doctors money dies Donald Trump 103020nnThats sad ignorant,,
1163,bStood on line for 2 hours  just cast my vote BidenHarris2020,1,,bStood 2 hours cast vote BidenHarris2020,,#BidenHarris2020
1164,bRT AndyOstroy realDonaldTrump This election is a choice between a pathologicallylying incompetent corrupt dangerous sociopath traitor,0,discrimination,bRT AndyOstroy realDonaldTrump This election choice pathologicallylying incompetent corrupt dangerous sociopath traitor,@AndyOstroy @realDonaldTrump,
1165,bkayleighmcenany realDonaldTrump God bless America MAGA,1,,bkayleighmcenany realDonaldTrump God bless America MAGA,@kayleighmcenany @realDonaldTrump,#MAGA
1166,farther backward you can look the farther forward you are likely to ChurchillnnEasy  foolish,0,discrimination,farther backward farther forward ChurchillnnEasy foolish,,
1167,bRT GenWashington64 College Affordability  BidenHarris2020 sees higher education as a public good  wants to make sure all students,1,,bRT GenWashington64 College Affordability BidenHarris2020 sees higher education public good students,@GenWashington64,#BidenHarris2020
1168,bJohnKerry MittRomneyJoeBiden All 3 Have Sons Who R Very Good FriendsIn Business Together  All 3 Fathers,1,,bJohnKerry MittRomneyJoeBiden All 3 Have Sons Who R Very Good FriendsIn Business Together All 3 Fathers,@JohnKerry @MittRomney @JoeBiden,
1169,bIndependentSage Please explain why we are all wearing face masks and why they are being forced into classrooms,0,discrimination,bIndependentSage Please explain wearing face masks forced classrooms,@IndependentSage,
1170,bTo give you an idea of how pathetic weak and incompetent JoeBiden is its Obama on,0,covid19,bTo idea pathetic weak incompetent JoeBiden Obama,,#JoeBiden #Obama
1171,bOn this last Friday of Oct I got into some GoodTrouble  cast my sea witch ballot for KamalaHarris,0,covid19,bOn Friday Oct I GoodTrouble cast sea witch ballot KamalaHarris,,#GoodTrouble #KamalaHarris
1172,bSome one stole my Google pictures and is setting up fake email accounts fake Facebook Twitter social media,0,discrimination,bSome stole Google pictures setting fake email accounts fake Facebook Twitter social media,,
1173,bRT mimbrussels Normally we were set to reopen our doors next week on the 3rd of  have wait a little longer to,1,,bRT mimbrussels Normally set reopen doors week 3rd wait longer,@mimbrussels,
1174,brealDonaldTrump Softly realDonaldTrump will be just a one term impeached abomination in our history books that,1,,brealDonaldTrump Softly realDonaldTrump will term impeached abomination history books,@realDonaldTrump @realDonaldTrump,
1175,bHow very GOP,1,,bHow GOP,,#GOP
1176,bRT nkeung In the midst of a second wave of COVID19 Canada just maintaining its immigration strategy but taking it up a notch,1,,bRT nkeung In midst second wave COVID19 Canada maintaining immigration strategy notch,@nkeung,#COVID
1177,bRT Cleavon_MD realDonaldTrump at 39nConrad Buchanan better known as DJ Griff Gotti from Fort Meyers FL died from COVID He,0,covid19,bRT Cleavon_MD realDonaldTrump 39nConrad Buchanan better DJ Griff Gotti Fort Meyers FL died COVID He,@Cleavon_MD @realDonaldTrump,#COVID
1178,brealDonaldTrump TrumpCrimeFamily nntRump is beyond Immoral Liar Deceit Corruption Incompetence and just,0,covid19,brealDonaldTrump TrumpCrimeFamily nntRump Immoral Liar Deceit Corruption Incompetence,@realDonaldTrump,#TrumpCrimeFamily
1179,bbetween2worlds New list of sins Thanks to Justin Taylor 10 Commandments wasnt  Golden Rule needed,0,discrimination,bbetween2worlds New list sins Thanks Justin Taylor 10 Commandments Golden Rule needed,@between2worlds,
1180,bmarkgeragos Always wondered why Turkey felt like they could take on the middle east and now the Caucuses,1,,bmarkgeragos Always wondered Turkey felt middle east Caucuses,@markgeragos,
1181,bJoe is going there with corruption  taxes attacking our  you corrupt ole  should be in,0,crime,bJoe going corruption taxes attacking corrupt ole,,
1182,bMy parents had not voted democrat since JimmyCarter They were Trump voters in 2016 and were ashamed within two,0,crime,bMy parents voted democrat JimmyCarter They Trump voters 2016 ashamed,,#democrat #JimmyCarter
1183,bRT IshRasool Our communities FBPE facciamorete and FBR back JoeBiden Our hashtags are MakeItABlowOut and  great,1,,bRT IshRasool Our communities FBPE facciamorete FBR JoeBiden Our hashtags MakeItABlowOut great,@IshRasool,#FBPE #facciamorete #FBR #JoeBiden #MakeItABlowOut #OndaCivica
1184,bRT FaceTheNation How secure does an intelligence analyst see Election2020 nnWhat cyber threats should voters be prepared for ahead of,1,,bRT FaceTheNation How secure intelligence analyst Election2020 nnWhat cyber threats voters prepared ahead,@FaceTheNation,#Election2020
1185,bthehill Well I would give him a blow the horn job too joebiden Sexy silver fox And um SMART,1,,bthehill Well I blow horn job joebiden Sexy silver fox And um SMART,@thehill,#joebiden
1186,bIts good to laugh during pandemic wonder how would he say that in Mandarin Chinese JoeBiden,1,,bIts good laugh pandemic wonder Mandarin Chinese JoeBiden,,#JoeBiden
1187,bOh boy I just wait til Nov 3rd cuz I do wanna see them pack their bags and leave the White House with,0,others,bOh boy I wait Nov 3rd cuz I wan pack bags leave White House,,
1188,bRT 1Chance2020 Good morning Resisters taken 4 years to get here is now just 4 days away JoeBiden finished racking up,1,,bRT 1Chance2020 Good morning Resisters 4 years 4 days JoeBiden finished racking,@1Chance2020 @JoeBiden,#Resisters
1189,bOther than exposing Democrats lies and exposing BidenCrimeSyndicate and their doings there is really not much use for,0,covid19,bOther exposing Democrats lies exposing BidenCrimeSyndicate doings,,#Democrats #BidenCrimeSyndicate
1190,bAnother lockdown would result in thousands of unnecessary deaths and irrecoverable economic damage This is the,1,,bAnother lockdown result thousands unnecessary deaths irrecoverable economic damage This,,
1191,bRT cretedeepsea MQuigley1963 Covid really  tourist lounging the beach nWhere are my French fries nncovid haiku,1,,bRT cretedeepsea MQuigley1963 Covid tourist lounging beach nWhere French fries nncovid haiku,@cretedeepsea @MQuigley1963,#covid #haiku
1192,bHelp make calls to turn Florida BLUEnn Resisters ResistersUnite,1,,bHelp calls turn Florida BLUEnn Resisters ResistersUnite,,#Resist #Resisters #ResistersUnite
1193,bThis idiot thinks hes a deity  believe they have supernatural powersnTrump2020Landslide,0,crime,bThis idiot thinks deity supernatural powersnTrump2020Landslide,,#Democrats #Trump2020Landslide
1194,bJoeBiden is asked to comment on the murder of WalterWallaceJr he instead condemns the,0,covid19,bJoeBiden asked comment murder WalterWallaceJr condemns,,#JoeBiden #WalterWallaceJr
1195,bI almost feel sorry for OBAMA nnWhat an embarrassment JoeBiden is,0,covid19,bI feel OBAMA nnWhat embarrassment JoeBiden,,#JoeBiden
1196,bRT CEPARmaturework Mature Workers During COVID19 Survey findsn20 more mature workers are working from home during COVID compared to,1,,bRT CEPARmaturework Mature Workers During COVID19 Survey findsn20 mature workers working COVID compared,@CEPARmaturework,
1197,bRT RobertBeadles Join WokeSocieties and myself at 5pm PST 8PM EST bring your questions and popcorn Patriotic chat and news incoming,1,,bRT RobertBeadles Join WokeSocieties 5pm PST 8PM EST bring questions popcorn Patriotic chat news incoming,@RobertBeadles,#WokeSocieties
1198,it just occurred to me What all been fighting for to Resist here why so,0,others,occurred What fighting Resist,,#Resist
1199,bRT hillaryrocks781 Utah just got an emergency broadcast across our phones and TVnnThe hospitals are overwhelmed and COVID numbers are,0,covid19,bRT hillaryrocks781 Utah emergency broadcast phones TVnnThe hospitals overwhelmed COVID numbers,@hillaryrocks781,
1200,bWe will emerge from COVID19 but you can emerge stronger with NHTI Learn how today,1,,bWe will emerge COVID19 emerge stronger NHTI Learn today,,#COVID
1201,bRed States Are REALLY Scary This Halloween  So Please VoteBlue namericanmclass Cubfan13241,0,others,bRed States Are REALLY Scary This Halloween So Please VoteBlue namericanmclass Cubfan13241,@americanmclass @Cubfan13241,#VoteBlue
1202,bSuperb election summary We anxiously await the damage report Who will go over the edge Trump Biden,0,covid19,bSuperb election summary We anxiously await damage report Who will edge Trump Biden,,
1203,bRT FamilyNoTourism We are not Covid sceptics or conspiracy theorists We support government measures to contain the spread But we,0,covid19,bRT FamilyNoTourism We Covid sceptics conspiracy theorists We support government measures spread But,@FamilyNoTourism,#Covid
1204,brealDonaldTrump Were you sitting in a tent in the dark with a flashlight when you tweeted this oh so scary,0,others,brealDonaldTrump Were sitting tent dark flashlight tweeted scary,@realDonaldTrump,
1205,bWheresJoeTaraReade says shell take lie detector test if JoeBiden takes one  IF Biden,1,,bWheresJoeTaraReade shell lie detector test JoeBiden takes IF Biden,,#WheresJoe #TaraReade #JoeBiden #Biden
1206,bRT Kenz300zx Be kind to people and  are crowding out all other species of plants and animals nClimateActionNow,1,,bRT Kenz300zx Be kind people crowding species plants animals nClimateActionNow,@Kenz300zx,#ClimateActionNow
1207,bRT DHSCgovuk Most COVID19 test sites are open seven days a week including at the weekend high,1,,bRT DHSCgovuk Most COVID19 test sites open days week including weekend high,@DHSCgovuk,#COVID19
1208,bRT CBSNews This 26yearold woman from Texas is clear on who shes voting for but there are more than 48 million young Americans,1,,bRT CBSNews This 26yearold woman Texas clear voting 48 young Americans,@CBSNews,
1209,brealDonaldTrump Ive done more in 47 months to damage Democracy than JoeBiden has done in 47  I,0,discrimination,brealDonaldTrump Ive 47 months damage Democracy JoeBiden 47 I,@realDonaldTrump,#JoeBiden
1210,bRT MadVoterInMN  in IowannEven the JoeBiden cutout looks weak and low  Trump2020Landslide,0,crime,bRT MadVoterInMN IowannEven JoeBiden cutout weak low Trump2020Landslide,@MadVoterInMN,#Biden #JoeBiden #MAGA2020 #Trump2020Landslide
1211,bLOL this hilarious Vote BidenHarris2020,1,,bLOL hilarious Vote BidenHarris2020,,#Vote #BidenHarris2020
1212,bRT glamelegance realDonaldTrump Ivanka Trump works in the White House on US foreign policy without any education or experience,1,,bRT glamelegance realDonaldTrump Ivanka Trump works White House US foreign policy education experience,@glamelegance @realDonaldTrump,
1213,bRT soloyochapin HKrassenstein realDonaldTrump over 240000 Americans death of COVID19 nMillions unemployednand even more infected of,0,covid19,bRT soloyochapin HKrassenstein realDonaldTrump 240000 Americans death COVID19 nMillions unemployednand infected,@soloyochapin @HKrassenstein @realDonaldTrump,#COVID19
1214,bWhat the hellnnTrumpIsCompromised,1,,bWhat hellnnTrumpIsCompromised,,#TrumpIsCompromised
1215,bDhivCM Next time PLEASE remember to the why nat first I thought covid 2nd3rd wave nunnLets say you,1,,bDhivCM Next time PLEASE remember nat I thought covid 2nd3rd wave nunnLets,@DhivCM,#covid
1216,bgarretthamby28 How do you fight Mitch McConnell when he wont do anythingnnThe President cant go threaten the,0,covid19,bgarretthamby28 How fight Mitch McConnell anythingnnThe President cant threaten,@garretthamby28,
1217,bRT Jimcorrsays Have you read Archbishop Viganos open letter to the President of the US He speaks of the Greatest Reset which many of,1,,bRT Jimcorrsays Have read Archbishop Viganos open letter President US He speaks Greatest Reset,@Jimcorrsays,
1218,bClaraJeffery MotherJones karavoght So you have conceded you have lost already If you wont accept the result,0,covid19,bClaraJeffery MotherJones karavoght So conceded lost If accept result,@ClaraJeffery @MotherJones @karavoght,
1219,bVoted Early In person firsttimevoter VoteBlue,1,,bVoted Early In person firsttimevoter VoteBlue,,#firsttimevoter #VoteBlue
1220,bTrump campaign uses Post to blast Bidens for blatant selling of access,1,,bTrump campaign Post blast Bidens blatant selling access,,
1221,bSeason 1 episode 4 of TheOffice SteveCarell says about trump just makes people And I think,1,,bSeason 1 episode 4 TheOffice SteveCarell trump people And I,@SteveCarell,#TheOffice
1222,b2599216 people recovered from Corona today Total Corona virus recoveries 32561855 n n Source WHO Situation,1,,b2599216 people recovered Corona today Total Corona virus recoveries 32561855 Source WHO Situation,,
